ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
55;Audiência discute desocupação;16/09/2015;;Educação;3;Ocupação;Ocupação de prédios ou terrenos;Gazeta do Povo;ANTONELLI, Diego. Audiência discute desocupação. Gazeta do Povo, Curitiba, 16 set. 2015. Vida e Cidadania/Ensino Superior, p. 12.;Universidade Federal do Paraná - Rua XV de Novembro, 1299;-25,426850;-49,261954;Curitiba;Centro
56;Comerciantes de Curitiba protestam contra crise político-econômica;13/04/2016;800;Estado, Governo e Democracia;6;concentração inicial em frente à sede da ACP, na Rua XV, passeata seguiu até boca maldita;Passeata;Banda B;BANDA B. Comerciantes do Centro de Curitiba fecham as portas por meia hora em protesto contra a crise. Banda B, Curitiba, 14 abr. 2016. Disponível em: <http://www.bandab.com.br/jornalismo/comercio-fecha-as-portas-em-protesto-contra-crise-politico-economica/>. Acesso em: 02 jan. 2016.; Rua XV de Novembro, 621 ;-25,429738;-49,267884;Curitiba;Centro
58;Protesto fecha trincheira em Campina Grande do Sul;14/04/2016;;Transporte, trânsito e circulação;19;Bloqueio da marginal da BR-116 através da queima de pneus;Fechamento de vias públicas;Bem Paraná;"BEM PARANÁ. Protesto fecha trincheira em Campina Grande do Sul. Jornal Bem Paraná, Curitiba, 14 abr. 2016. Disponível em: <http://www.bemparana.com.br/noticia/438862/protesto-fecha-trincheira-em-campina-grande-do-sul>. Acesso em: 27 jun. 2017.
";R. Pedro Pasa, 1142;-25,366863;-49,102065;Campina Grande do Sul;Jardim Paulista
59;Atos contra impeachment bloqueiam rodovias em vários estados;15/04/2016;100;Estado, Governo e Democracia;6;Interdição da BR-277;Fechamento de vias públicas;Jornale;ATOS contra impeachment bloqueiam rodovias em vários estados. Jornale. Curitiba,15 abr. 2016.;BR-277 Orleans Curitiba - PR;-25,431636;-49,363618;Curitiba;Orleans
61;Marcha da Maconha 2016;17/04/2016;500;Segurança Pública;17;Marcha ;Passeata;G1 on line;G1. Em dia de atos sobre impeachment, Curitiba tem protesto pela maconha. Jornal G1, Curitiba, 17 abr. 2016, paraná rpc. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/04/em-dia-de-atos-sobre-impeachment-curitiba-tem-protesto-pela-maconha.html>. Acesso em: 02 jan. 2017. ;1099, Av. Cândido de Abreu, 1039 - Centro Cívico, PR;-25,417061;-49,268743;Curitiba;Centro Cívico
62;Manifestantes fazem atos contra o impeachment no Paraná;17/04/2016;1700;Estado, Governo e Democracia;6;Manifestação na Praça Rui Barbosa;Manifestação em espaço público;G1 on line;G1. Manifestantes fazem atos contra e a favor do impeachment no Paraná. Jornal G1, Curitiba, 17 abr. 2016. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/04/manifestantes­fazem­atos­contra­e­favor­do­impeachment­no­parana.htm>. Acesso em: 02 jan. 2017. ;Praça Rui Barbosa ;-25,436329;-49,273911;Curitiba;Centro
63;Manifestantes fazem atos a favor do impeachment no Paraná;17/04/2016;9000;Estado, Governo e Democracia;6;Manifestação em praça pública;Manifestação em espaço público;G1 on line;G1. Manifestantes fazem atos contra e a favor do impeachment no Paraná. Jornal G1, Curitiba, 17 abr. 2016. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/04/manifestantes­fazem­atos­contra­e­favor­do­impeachment­no­parana.htm>. Acesso em: 02 jan. 2017. ;Praça Santos Andrade;-25,428672;-49,266718;Curitiba;Centro
64;População se revolta e bloqueia o Contorno Sul ;17/04/2016;;Transporte, trânsito e circulação;19;Fechamento da BR-376 através da queima de pneus;Fechamento de vias públicas;Bem Paraná;BEM PARANÁ. População se revolta e bloqueia o Contorno Sul. Portal Bem Paraná, Curitiba, 17 abr. 2016. Disponível em: <http://www.bemparana.com.br/noticia/439620/populacao-se-revolta-e-bloqueia-o-contorno-sul>. Acesso em: 02 jan. 2017;Rua Setembrino Portella Neto, 58 - Cidade Industrial - Curitiba - PR;-25,497906;-49,342830;Curitiba;Cidade Industrial
66;"Manifestantes ""abraçam"" banco e reclamam de golpe em Curitiba";10/05/2016;200;Estado, Governo e Democracia;6;Manifestação em frente ao Banco do Brasil;Manifestação em espaço público;Parana Online - Tribuna PR;"SARZI, Lucas. Manifestantes ""abraçam"" banco e reclamam de golpe em Curitiba. Tribuna PR, Curitiba, 10 maio 2016. Curitiba e região. Disponível em: <http://www.tribunapr.com.br/noticias/curitiba-regiao/manifestantes-abracam-banco-e-reclamam-de-golpe-em-curitiba/>. Acesso em: 06 jan. 2016.";Av. Mal. Floriano Peixoto, 275;-25,432890;-49,271052;Curitiba;Centro
67;Um ano após conflito com polícia, professores vão às ruas em Curitiba;29/04/2016;5000;Educação;3;Manifestação na Praça Tiradentes;Manifestação em espaço público;G1 on line;"FONSECA, Alana; DIONÍSIO, Bibiana. Um ano após conflito com polícia, professores vão às ruas em Curitiba. G1, Curitiba, 29 abr. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/04/um-ano-apos-conflito-com-policia-professores-vao-ruas-em-curitiba.html>. Acesso em: 06 jan. 2017.";Praça Tiradentes;-25,429728;-49,271785;Curitiba;Centro
68;Curitiba tem protestos a favor de Sérgio Moro;15/05/2016;100;Estado, Governo e Democracia;6;Manifestação na Boca Maldita;Manifestação em espaço público;G1 on line;G1. Curitiba tem protestos a favor de Sérgio Moro e contra Michel Temer. G1, Curitiba, 15 maio 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/04/um­ano­apos­conflito­com­policia­professores­vao­ruas­em­curitiba.html>. Acesso em: 06 jan. 2017.;Boca Maldita;-25,432129;-49,275440;Curitiba;Centro
69;Protesto contra resoluções do STF e contra Dilma Rousseff no Centro;06/04/2016;;Estado, Governo e Democracia;6;Passeata no centro de Curitiba;Passeata;Bem Paraná;RITZ, Josianne. Repúdio ao STF. Bem Paraná, Curitiba, 07 abr. 2016. Política/Política em debate, p. 3.;Praça 19 de Dezembro, CEP 80020-260;-25,424526;-49,269334;Curitiba;Centro
70;Mulheres de Curitiba protestam contra estupro coletivo do RJ;26/05/2016;400;Segurança Pública;17;Ato na entrada do Teatro Guaíra;Manifestação em espaço público;Gazeta do Povo;NEITSCH, Joana. Mulheres de Curitiba protestam contra estupro coletivo do RJ. Gazeta do Povo, Curitiba, 27 maio 2016. Justiça e Direito. Disponível em: <http://www.gazetadopovo.com.br/vida-publica/justica-e-direito/mulheres-de-curitiba-protestam-contra-estupro-coletivo-do-rj-3l852xboqrh9wipwu2tuzlwcp>. Acesso em 06 jan. 2016. ;Teatro Guaíra - Rua XV de Novembro, 971 - Centro, Curitiba - PR, 80020-310;-25,428303;-49,265564;Curitiba;Centro
71;Moradores ameaçam botar fogo em posto de saúde;17/02/2010;50;Saúde;16;Fogo em pneus;Outros;Banda B;;Rua Herbert Trap, s/n, Guarituba;-25,464232;-49,130016;Piraquara;Guarituba
72;Médicos que atendem pelo SUS fazem protesto na Boca Maldita;25/10/2011;;Saúde;16;Distribuição de panfletos;Manifestação em espaço público;Gazeta do Povo;GERON, B. Médicos que atendem pelo SUS fazem protesto na Boca Maldita. Gazeta do Povo. Curitiba, 25 de Outubro de 2010;Rua Luiz Xavier - Centro - Curitiba - PR, 80020-020;-25,432275;-49,274543;Curitiba;Centro
73;Familiares de pacientes que morreram na UTI do Evangélico pedem justiça no caso Virgínia;02/11/2013;;Saúde;16;Protesto silencioso;Outros;Banda B;"SEQUINEL, M; CUNHA, J. Familiares de pacientes que morreram na UTI do Evangélico pedem justiça no Caso Virgínia. Banda B. Curitiba, 02 de Novembro de 2011";Rua Padre João Sotto Maior, s/n, São Francisco, Curitiba, PR - 80510-250;-25,421763;-49,275188;Curitiba;São Francisco
